Team,Year,Seed,Games Won,Tempo Rating,Tempo Ranking
Duke,2025,1,4,66,269
Alabama,2025,2,3,75.3,1
Wisconsin,2025,3,1,68,149
Arizona,2025,4,2,70.3,49
Oregon,2025,5,1,68.1,141
BYU,2025,6,2,67.6,170
Saint Mary's,2025,7,1,61.7,360
Mississippi State,2025,8,0,68.3,127
Baylor,2025,9,1,64.6,328
Vanderbilt,2025,10,0,69.5,68
VCU,2025,11,0,66.3,246
Liberty,2025,12,0,65.6,285
Akron,2025,13,0,71.7,15
Montana,2025,14,0,67.3,193
Robert Morris,2025,15,0,68.1,142
American,2025,16,0,63.8,348
Mount St. Mary's,2025,16,0.5,67.8,160
Florida,2025,1,6,70.1,57
St. John's,2025,2,1,70,58
Texas Tech,2025,3,3,66.1,264
Maryland,2025,4,2,69.6,66
Memphis,2025,5,0,71,27
Missouri,2025,6,0,68.6,113
Kansas,2025,7,0,68.6,114
UConn,2025,8,1,64,343
Oklahoma,2025,9,0,68.8,108
Arkansas,2025,10,2,69.4,69
Drake,2025,11,1,59.4,364
Colorado State,2025,12,1,66,270
Grand Canyon,2025,13,0,71.4,19
UNC Wilmington,2025,14,0,65.9,276
Omaha,2025,15,0,67.7,163
Norfolk State,2025,16,0,66.5,229
Auburn,2025,1,4,68.2,134
MIchigan State,2025,2,3,67.5,183
Iowa State,2025,3,1,68.6,109
Texas A&M,2025,4,1,66.8,215
Michigan,2025,5,2,70.1,54
Ole Miss,2025,6,2,68.1,143
Marquette,2025,7,0,67.7,166
Louisville,2025,8,0,69.1,90
Creighton,2025,9,1,67.3,192
New Mexico,2025,10,1,72.5,7
San Diego State,2025,11,0,66.3,245
North Carolina,2025,11,0.5,70.7,34
UCSD,2025,12,0,65.8,278
Yale,2025,13,0,67.7,169
Lipscomb,2025,14,0,66.2,253
Bryant,2025,15,0,72.7,6
Alabama State,2025,16,0.5,68.1,139
Saint Francis,2025,16,0,67.1,203
Houston,2025,1,5,61.9,359
Tennessee,2025,2,3,63.7,349
Kentucky,2025,3,2,70.9,30
Purdue,2025,4,2,65.1,300
Clemson,2025,5,0,64.6,327
Illinois,2025,6,1,71.5,17
UCLA,2025,7,1,65,312
Gonzaga,2025,8,1,70.5,42
Georgia,2025,9,0,66.7,219
Utah State,2025,10,0,67.6,172
Texas,2025,11,0,67.6,176
Xavier,2025,11,0.5,69.2,84
McNeese,2025,12,1,65.9,275
High Point,2025,13,0,66.5,230
Troy,2025,14,0,66.5,231
Wofford,2025,15,0,64.3,333
SIUE,2025,16,0,66.2,254
UConn,2024,1,6,64.6,330
Iowa State,2024,2,2,67.2,201
Illinois,2024,3,3,69.8,66
Auburn,2024,4,0,70,59
San Diego State,2024,5,2,66.2,267
BYU,2024,6,0,69.2,84
Washington State,2024,7,1,64.8,322
Florida Atlatnic,2024,8,0,68.3,133
Northwestern,2024,9,1,64.2,338
Drake,2024,10,0,68,148
Duquesne,2024,11,1,66.2,264
UAB,2024,12,0,67.8,158
Yale,2024,13,1,64.9,315
Morehead State,2024,14,0,64.3,337
South Dakota State,2024,15,0,68,153
Stetson,2024,16,0,66.5,252
North Carolina,2024,1,2,70.6,41
Arizona,2024,2,2,72.2,16
Baylor,2024,3,1,65.8,282
Alabama,2024,4,4,72.6,14
Saint Mary's,2024,5,0,62.5,357
Clemson,2024,6,3,66.4,256
Dayton,2024,7,1,64.5,334
Mississippi State,2024,8,0,67.1,210
Michigan State,2024,9,1,65.3,309
Nevada,2024,10,0,66.8,235
New Mexico,2024,11,0,72.8,9
Grand Canyon,2024,12,1,68.5,126
Charleston,2024,13,0,70.3,51
Colgate,2024,14,0,66.4,255
Long Beach State,2024,15,0,71.5,24
Howard,2024,16,0,67.8,159
Wagner,2024,16,0.5,61.6,361
Houston,2024,1,2,63.5,349
Marquette,2024,2,2,69.1,92
Kentucky,2024,3,0,72.7,12
Duke,2024,4,3,66.4,253
Wisconsin,2024,5,0,65.5,304
Texas Tech,2024,6,0,66.8,232
Florida,2024,7,0,72,17
Nebraska,2024,8,0,69,95
Texas A&M,2024,9,1,66.6,246
Boise State,2024,10,0,66.6,243
Colorado,2024,10,1.5,67.6,169
NC State,2024,11,4,68,150
James Madison,2024,12,1,69.7,70
Vermont,2024,13,0,63.3,350
Oakland,2024,14,1,66.5,248
Western Kentucky,2024,15,0,75.3,1
Longwood,2024,16,0,66.9,228
Purdue,2024,1,5,67,218
Tennessee,2024,2,3,69.3,80
Creighton,2024,3,2,66.8,229
Kansas,2024,4,1,69.2,88
Gonzaga,2024,5,2,68.9,102
South Carolina,2024,6,0,63.2,351
Texas,2024,7,1,67.4,186
Utah State,2024,8,1,68.9,99
TCU,2024,9,0,69.8,64
Virginia,2024,10,0,60.1,362
Colorado State,2024,10,0.5,66.1,269
Oregon,2024,11,1,67.3,195
McNeese,2024,12,0,65.9,277
Samford,2024,13,0,72.8,8
Akron,2024,14,0,66,271
Saint Peter's,2024,15,0,64.1,339
Montana State,2024,16,0,69,97
